Date,Name,X,Y,Z
2154-09-01,Saturn,-1137009602.1110284,699594093.1353253,338319795.8827103
2154-09-01,Uranus,-424416000.2168984,-2597644875.481919,-1131661584.5339563
2154-09-01,Neptune,931294214.239187,-4084896341.57349,-1695154397.8231325
2154-09-01,Pluto,739895754.2793922,6588630761.371227,1833382237.228118
2154-10-01,Sun,0.0,0.0,0.0
2154-10-01,Mercury,15074309.110903274,38571474.06372434,19083671.35486541
2154-10-01,Venus,104787987.39176728,26831041.57052232,5464653.00902053
2154-10-01,Earth,149034679.7513427,13238566.086739374,5726719.62671708
2154-10-01,Mars,-54045078.62867462,210859129.58566287,98173982.83319841
2154-10-01,Jupiter,440868905.60021925,559541958.934726,229073354.073575
2154-10-01,Saturn,-1152286321.859093,680051406.7298216,330903570.4052683
2154-10-01,Uranus,-407080242.1018651,-2600657460.122804,-1133225609.2191186
2154-10-01,Neptune,944984860.5830481,-4081989663.0084095,-1694305587.8717735
2154-10-01,Pluto,729917686.299846,6586985854.633989,1835875406.0860574
2154-11-01,Sun,0.0,0.0,0.0
2154-11-01,Mercury,-52299490.78819641,-37688341.87429545,-14709466.150576374
2154-11-01,Venus,46923778.7301148,89238663.60618624,37229053.477393284
2154-11-01,Earth,119526512.63434026,80480201.56516346,34851799.36762033
2154-11-01,Mars,-112324805.2986418,194930737.96048245,92421585.50743346
2154-11-01,Jupiter,411694448.8508732,579106507.0519043,238165132.1717384
2154-11-01,Saturn,-1167659836.2431946,659614005.6910276,323121745.0974849
2154-11-01,Uranus,-389150410.5110959,-2603666865.6950283,-1134796624.9768727
2154-11-01,Neptune,959122255.2457165,-4078944624.03415,-1693411271.1325161
2154-11-01,Pluto,719604911.0372258,6585267119.046983,1838446385.5163915
2154-12-01,Sun,0.0,0.0,0.0
2154-12-01,Mercury,35705007.50078994,-46309304.932453275,-28401637.472437747
2154-12-01,Venus,-41402377.87689864,89070526.7598714,42733105.470494166
2154-12-01,Earth,58617920.329081774,123842772.57454662,53635280.210519984
2154-12-01,Mars,-161771385.39218533,167280767.48073414,81056568.8195047
2154-12-01,Jupiter,382574942.1204321,596794452.8553791,246451409.02400035
2154-12-01,Saturn,-1182134098.5510528,639607931.3775115,315479290.86372787
2154-12-01,Uranus,-371783957.8984908,-2606478911.9161754,-1136273255.2402318
2154-12-01,Neptune,972794171.5564632,-4075957705.1331654,-1692529152.848231
2154-12-01,Pluto,709622795.2313234,6583585429.37021,1840929294.365029
2155-01-01,Sun,0.0,0.0,0.0
2155-01-01,Mercury,-4951125.934799238,40051200.79048505,21953146.89408286
2155-01-01,Venus,-102725516.40352745,25877117.25151628,18145000.436949905
